TableName	Actflag	Created	Changed	BochgID	RelEventID	SecID	ISIN	EffectiveDate	OldOutValue	NewOutValue	EventType	OldOutDate	NewOutDate	Notes
BOCHG	I	2009/10/21	2009/10/21	188563		838381	JP1050661790	2007/09/26	1998.99600	1998996.00000	CORR	2007/09/25	2007/09/25	
BOCHG	D	2010/09/28	2012/01/18	302582		838381	JP1050661790	2010/06/30	1998996.00000	4395000.00000	CORR	2007/09/25	2010/06/30	
BOCHG	I	2012/01/18	2012/01/18	471370		838381	JP1050661790	2007/11/26	1998996.00000	4169851.00000	CORR	2007/09/25	2007/11/26	
BOCHG	I	2012/01/18	2012/01/18	471371		838381	JP1050661790	2010/06/30	4169851.00000	4395000.00000	CORR	2007/11/26	2010/06/30	
BOCHG	I	2012/09/20	2012/09/20	618304		838381	JP1050661790	2012/09/20	4395000.00000		REDEM	2010/06/30	2012/09/20	
BOCHG	I	2010/09/28	2010/09/28	302583		838388	JP10506717A3	2010/06/30	2000000.00000	2348900.00000	CORR	2007/10/25	2010/06/30	
BOCHG	I	2011/11/09	2011/11/09	444609		838388	JP10506717A3	2011/03/31	2348900.00000	2172344.00000	CORR	2010/06/30	2011/03/31	
BOCHG	I	2012/09/20	2012/09/20	618305		838388	JP10506717A3	2012/09/20	2172344.00000		REDEM	2011/03/31	2012/09/20	
BOCHG	D	2009/10/02	2012/01/18	183654		838422	JP10506817C7	2007/12/27	1999231.00000	2000000.00000	CORR	2007/12/26	2007/12/25	
BOCHG	D	2010/09/28	2012/01/18	302584		838422	JP10506817C7	2010/06/30	2000000.00000	2169000.00000	CORR	2007/12/25	2010/06/30	
BOCHG	I	2012/01/18	2012/01/18	471373		838422	JP10506817C7	2007/12/26	1999231.00000	1999231.00000	CORR	2007/12/26	2007/12/25	
BOCHG	I	2012/01/18	2012/01/18	471375		838422	JP10506817C7	2010/06/30	1999231.00000	2169000.00000	CORR	2007/12/25	2010/06/30	
BOCHG	I	2012/12/20	2012/12/20	660733		838422	JP10506817C7	2012/12/20	2169000.00000		REDEM	2010/06/30	2012/12/20	
BOCHG	D	2010/09/28	2012/01/18	302585		838427	JP1050691813	2010/06/30	2151526.00000	4425400.00000	CORR	2008/01/25	2010/06/30	
BOCHG	I	2012/01/18	2012/01/18	471377		838427	JP1050691813	2008/02/25	2151526.00000	4319693.00000	CORR	2008/01/25	2008/02/25	
BOCHG	I	2012/01/18	2012/01/18	471378		838427	JP1050691813	2010/06/30	4319693.00000	4425400.00000	CORR	2008/02/25	2010/06/30	
BOCHG	I	2012/12/20	2012/12/20	660734		838427	JP1050691813	2012/12/20	4425400.00000		REDEM	2010/06/30	2012/12/20	
BOCHG	D	2010/09/28	2012/01/18	302586		838447	JP1050701836	2010/06/30	2000000.00000	4027500.00000	CORR	2008/03/25	2010/06/30	
BOCHG	I	2012/01/18	2012/01/18	471384		838447	JP1050701836	2008/03/26	2000000.00000	1999143.00000	CORR	2008/03/25	2008/03/25	
BOCHG	I	2012/01/18	2012/01/18	471387		838447	JP1050701836	2008/04/15	1999143.00000	3975437.00000	CORR	2008/03/25	2008/04/15	
BOCHG	I	2012/01/18	2012/01/18	471388		838447	JP1050701836	2010/06/30	3975437.00000	4027500.00000	CORR	2008/04/15	2010/06/30	
BOCHG	I	2013/03/20	2013/03/20	708077	1083662	838447	JP1050701836	2013/03/20	4027500.00000		REDEM	2010/06/30	2013/03/20	
BOCHG	D	2010/09/28	2012/01/18	302587		951538	JP1050711850	2010/06/30	1900000.00000	2105200.00000	CORR	2008/05/20	2010/06/30	
BOCHG	I	2012/01/18	2012/01/18	471393		951538	JP1050711850	2008/05/21	1900000.00000	2078525.00000	CORR	2008/05/20	2008/05/20	
BOCHG	D	2012/01/18	2012/01/18	471394		951538	JP1050711850	2010/06/30	2078525.00000	2105200.00000	CORR	2008/05/20	2010/06/30	
BOCHG	I	2012/01/18	2012/01/18	471399		951538	JP1050711850	2010/06/30	2078525.00000	2105200.00000	CORR	2008/05/20	2010/06/30	
BOCHG	I	2013/03/20	2013/03/20	708079	1083669	951538	JP1050711850	2013/03/20	2105200.00000		REDEM	2010/06/30	2013/03/20	
BOCHG	D	2010/09/28	2012/01/18	302592		1198840	JP1050721867	2010/06/30	1900000.00000	2148700.00000	CORR	2008/06/20	2010/06/30	
BOCHG	I	2012/01/18	2012/01/18	471400		1198840	JP1050721867	2008/06/21	1900000.00000	2074788.00000	CORR	2008/06/20	2008/06/20	
BOCHG	I	2012/01/18	2012/01/18	471401		1198840	JP1050721867	2010/06/30	2074788.00000	2148700.00000	CORR	2008/06/20	2010/06/30	
BOCHG	I	2013/06/20	2013/06/20	755706	1153385	1198840	JP1050721867	2013/06/20	2148700.00000		REDEM	2010/06/30	2013/06/20	
BOCHG	I	2009/10/09	2009/10/09	185341		1065605	JP1050731874	2009/10/08	2086356.00000	2086356.00000	CORR	2008/07/11	2009/10/08	
BOCHG	I	2010/09/28	2010/09/28	302597		1065605	JP1050731874	2010/06/30	2086356.00000	2128800.00000	CORR	2009/10/08	2010/06/30	
BOCHG	I	2013/06/20	2013/06/20	755688	1153364	1065605	JP1050731874	2013/06/20	2128800.00000		REDEM	2010/06/30	2013/06/20	
BOCHG	D	2010/09/28	2012/01/18	302599		1198795	JP1050741881	2010/06/30	1900000.00000	2050300.00000	CORR	2008/08/25	2010/06/30	
BOCHG	I	2012/01/18	2012/01/18	471404		1198795	JP1050741881	2008/08/26	1900000.00000	2036589.00000	CORR	2008/08/25	2008/08/25	
BOCHG	I	2012/01/18	2012/01/18	471405		1198795	JP1050741881	2010/06/30	2036589.00000	2050300.00000	CORR	2008/08/25	2010/06/30	
BOCHG	I	2013/06/20	2013/06/20	755705	1153384	1198795	JP1050741881	2013/06/20	2050300.00000		REDEM	2010/06/30	2013/06/20	
BOCHG	D	2010/09/28	2012/01/18	302600		1503596	JP1050751898	2010/06/30	1900000.00000	1994900.00000	CORR	2008/09/22	2010/06/30	
